Distance, Angle
-0.18,3109.00
-0.19,3093.00
-0.19,3070.00
-0.20,3051.00
-0.21,3025.00
-0.21,3008.00
-0.22,2988.00
-0.22,2970.00
-0.23,2962.00
-0.24,2953.00
-0.24,2927.00
-0.25,2912.00
-0.26,2893.00
-0.26,2880.00
-0.27,2866.00
-0.27,2848.00
-0.28,2838.00
-0.29,2816.00
-0.29,2804.00
-0.30,2788.00
-0.30,2768.00
-0.31,2762.00
-0.32,2747.00
-0.32,2735.00
-0.33,2713.00
-0.33,2703.00
-0.34,2694.00
-0.35,2687.00
-0.35,2675.00
-0.36,2662.00
-0.37,2659.00
-0.37,2643.00
-0.38,2634.00
-0.38,2616.00
-0.39,2604.00
-0.40,2596.00
-0.40,2593.00
-0.41,2571.00
-0.41,2563.00
-0.42,2550.00
-0.43,2539.00
-0.43,2538.00
-0.44,2530.00
-0.45,2520.00
-0.45,2503.00
-0.46,2500.00
-0.46,2486.00
-0.47,2482.00
-0.48,2472.00
-0.48,2457.00
-0.49,2455.00
-0.49,2446.00
-0.50,2436.00
-0.51,2435.00
-0.51,2431.00
-0.52,2428.00
-0.53,2414.00
-0.53,2403.00
-0.54,2398.00
-0.54,2381.00
-0.55,2376.00
-0.56,2374.00
-0.56,2362.00
-0.57,2358.00
-0.57,2356.00
-0.58,2347.00
-0.59,2337.00
-0.59,2331.00
-0.60,2323.00
-0.61,2318.00
-0.61,2315.00
-0.62,2312.00
-0.62,2301.00
-0.63,2297.00
-0.64,2293.00
-0.64,2292.00
-0.65,2284.00
-0.65,2282.00
-0.66,2272.00
-0.67,2269.00
-0.67,2265.00
-0.68,2255.00
-0.69,2255.00
-0.69,2243.00
-0.70,2243.00
-0.70,2242.00
-0.71,2234.00
-0.72,1682.00
-0.72,1675.00
-0.73,1675.00
-0.73,1674.00
-0.74,1670.00
-0.75,1670.00
-0.75,1670.00
-0.76,1666.00
-0.77,1665.00
-0.77,1661.00
-0.78,1660.00
-0.78,1654.00
-0.79,1654.00
-0.80,1651.00
-0.80,1651.00
-0.81,1649.00
-0.81,1649.00
-0.82,1649.00
-0.83,1649.00
-0.83,1642.00
